Sample,Cache (cycles),DRAM (cycles)
1825,57,369
1826,57,369
1827,56,370
1828,58,366
1829,57,366
1830,51,370
1831,55,374
1832,51,370
1833,57,372
1834,57,911
1835,53,368
1836,57,366
1837,55,369
1838,58,368
1839,57,372
1840,57,370
1841,57,364
1842,53,366
1843,55,368
1844,55,1002
1845,57,367
1846,54,366
1847,51,368
1848,51,370
1849,53,368
1850,53,370
1851,55,368
1852,55,372
1853,55,368
1854,57,864
1855,57,374
1856,57,369
1857,56,367
1858,56,407
1859,57,366
1860,57,366
1861,55,368
1862,55,370
1863,57,372
1864,55,949
1865,55,370
1866,57,368
1867,55,368
1868,55,372
1869,55,374
1870,57,371
1871,56,368
1872,57,368
1873,57,370
1874,55,1279
1875,56,368
1876,53,368
1877,55,370
1878,53,366
1879,55,409
1880,57,368
1881,55,457
1882,53,370
1883,55,406
1884,56,691
1885,55,369
1886,59,367
1887,57,366
1888,55,366
1889,55,366
1890,55,370
1891,55,370
1892,55,370
1893,53,371
1894,58,828
1895,55,371
1896,56,365
1897,55,374
1898,59,372
1899,57,366
1900,53,368
1901,57,366
1902,55,368
1903,55,367
1904,56,1087
1905,55,369
1906,56,366
1907,57,366
1908,53,366
1909,57,368
1910,55,368
1911,57,369
1912,56,368
1913,57,372
1914,59,968
1915,55,372
1916,56,371
1917,56,368
1918,54,364
1919,56,8957
1920,57,368
1921,57,368
1922,57,366
1923,55,370
1924,57,364
1925,55,914
1926,56,372
1927,56,368
1928,55,366
1929,57,368
1930,57,366
1931,57,368
1932,53,368
1933,59,368
1934,57,370
1935,55,966
1936,55,370
1937,57,366
1938,57,370
1939,57,370
1940,55,368
1941,57,368
1942,57,371
1943,59,367
1944,58,366
1945,57,1037
1946,57,370
1947,57,370
1948,59,369
1949,56,372
1950,57,368
1951,55,366
1952,55,366
1953,55,364
1954,57,366
1955,55,959
1956,54,372
1957,51,372
1958,55,370
1959,57,366
1960,57,370
1961,51,372
1962,51,368
1963,55,370
1964,55,370
1965,57,1050
1966,57,368
1967,51,370
1968,57,364
1969,55,366
1970,57,366
1971,57,366
1972,57,367
1973,59,366
1974,57,366
1975,55,1039
1976,55,370
1977,56,366
1978,54,366
1979,55,370
1980,55,366
1981,55,366
1982,57,370
1983,53,370
1984,55,368
1985,57,930
1986,55,369
1987,53,370
1988,55,366
1989,51,368
1990,53,368
1991,51,374
1992,55,366
1993,57,364
1994,53,370
1995,55,1050
1996,55,370
1997,55,370
1998,53,368
1999,53,368
2000,53,371
2001,56,365
2002,55,378
2003,58,362
2004,59,368
2005,51,1014
2006,55,370
2007,55,370
2008,55,370
2009,55,370
2010,55,368
2011,55,372
2012,55,369
2013,56,367
2014,58,369
2015,58,943
2016,55,371
2017,58,365
2018,55,368
2019,55,368
2020,57,364
2021,59,370
2022,59,368
2023,55,370
2024,53,370
2025,55,1055
2026,56,371
2027,56,382
2028,56,367
2029,55,372
2030,55,370
2031,57,369
2032,56,368
2033,57,364
2034,51,368
2035,55,37006
2036,57,1272
2037,59,372
2038,57,372
2039,57,372
2040,57,371
2041,57,372
2042,57,374
2043,56,647
2044,55,366
2045,53,368
2046,51,366
2047,57,364
2048,57,374
2049,56,368
2050,53,370
2051,55,370
2052,57,366
2053,55,839
2054,54,368
2055,57,371
2056,57,367
2057,55,368
2058,55,368
2059,55,370
2060,57,370
2061,53,368
2062,55,368
2063,55,811
2064,57,368
2065,55,368
2066,56,366
2067,55,370
2068,55,370
2069,55,366
2070,55,368
2071,55,364
2072,55,374
2073,55,864
2074,55,368
2075,55,372
2076,57,368
2077,57,366
2078,55,368
2079,56,368
2080,56,368
2081,56,363
2082,57,368
2083,55,965
2084,57,366
2085,57,362
2086,59,370
2087,57,364
2088,59,366
2089,55,370
2090,55,368
2091,57,372
2092,54,366
2093,55,1006
2094,57,365
2095,56,370
2096,53,371
2097,55,372
2098,53,372
2099,55,368
2100,55,368
2101,57,366
2102,57,366
2103,53,770
2104,55,366
2105,59,364
2106,55,372
2107,53,364
2108,55,364
2109,55,368
2110,57,370
2111,57,366
2112,55,368
2113,54,980
2114,58,370
2115,54,368
2116,52,370
2117,54,372
2118,54,368
